AccelForward (m/s²),AccelLateral (m/s²),AccelDown (m/s²),AngleRateForward (deg/s),AngleRateLateral (deg/s),AngleRateDown (deg/s)
0.132,0.337,-9.941,-0.843,0.583,-0.052
-0.019,-0.325,-9.814,3.443,0.053,0.013
-0.134,-0.238,-9.765,0.208,-0.02,-0.263
0.153,0.346,-9.769,-2.932,0.576,-0.45
0.009,-0.198,-9.895,2.236,-0.228,-0.181
-0.141,-0.314,-9.731,1.445,-0.421,-0.212
0.039,0.18,-9.857,-2.511,0.322,-0.218
0.048,-0.183,-9.954,0.345,-0.376,-0.188
-0.046,-0.156,-9.938,0.612,-0.554,-0.005
-0.099,-0.147,-9.96,0.068,-0.275,0.075
0.06,-0.218,-9.78,-0.49,-0.452,-0.138
0.071,0.25,-9.761,-2.902,-0.211,0.196
-0.007,0.038,-9.598,-0.06,-0.416,0.236
-0.16,-0.583,-9.748,3.239,-0.766,-0.314
-0.048,-0.228,-9.735,-0.738,-0.083,-0.208
0.02,0.507,-9.632,-4.364,0.308,0.119
-0.041,0.228,-9.883,0.457,-0.132,-0.146
0.009,-0.376,-9.718,3.945,-0.115,-0.27
-0.121,-0.047,-10.144,-0.998,-0.065,-0.089
-0.147,0.358,-10.194,-2.48,0.054,0.02
-0.057,-0.029,-9.788,1.715,0.272,0.126
0.066,-0.13,-9.875,1.651,0.14,-0.129
-0.097,0.146,-9.792,-0.903,0.178,-0.218
-0.128,0.096,-10.118,-0.276,0.214,-0.168
0.041,0.02,-9.964,1.18,0.09,-0.312
-0.029,0.19,-9.628,0.219,0.15,-0.423
0.078,0.058,-9.814,0.969,0.101,-0.585
-0.013,-0.16,-9.78,1.499,-0.293,-0.077
-0.155,0.157,-10.094,-1.395,-0.312,0.187
0.052,0.047,-9.919,0.331,-0.046,-0.139
-0.005,-0.145,-9.266,1.792,-0.003,-0.269
-0.057,0.061,-10,-0.544,-0.381,-0.058
-0.178,-0.053,-10.034,0.675,-0.943,0.223
-0.141,0.089,-9.59,0.344,-0.378,-0.065
0.157,0.176,-9.755,-0.398,-0.012,-0.204
-0.106,-0.274,-9.524,2.213,-0.788,-0.171
-0.191,-0.291,-9.669,1.259,-0.736,-0.171
-0.017,0.128,-9.711,-1.67,-0.286,0.133
-0.091,0.06,-9.896,-0.672,-0.846,0.118
-0.034,-0.304,-9.483,1.574,-0.858,0.011
0,-0.038,-9.506,-0.6,-0.363,0.031
-0.135,-0.008,-10.179,-1.15,-0.282,-0.011
-0.105,-0.27,-9.652,0.636,-0.363,-0.147
0.046,0.042,-9.522,-1.584,-0.027,-0.042
-0.007,0.073,-9.81,-0.752,-0.064,0.155
-0.172,-0.214,-9.685,1.078,-0.474,0.175
-0.207,-0.111,-9.807,-1.181,-0.343,0.149
-0.209,0.028,-10.113,-1.389,-0.222,-0.116
-0.154,-0.004,-9.549,0.288,0.344,-0.209
0.106,-0.02,-9.738,0.155,-0.097,-0.045
-0.036,-0.182,-10.057,-0.106,-0.543,-0.356
-0.262,0.033,-9.931,-1.264,0.12,-0.287
-0.097,0.092,-10.534,-0.744,0.117,0.336
-0.085,-0.06,-9.718,1.15,0.33,0.095
0.003,0.167,-9.591,-0.351,0.707,-0.327
-0.082,0.035,-10.288,0.339,0.17,-0.417
-0.174,0.057,-9.56,1.015,0.242,-0.253
0.039,0.436,-9.564,-1.551,0.592,0.025
-0.157,0.01,-10.169,1.25,-0.271,0.09
-0.102,-0.298,-9.589,3.203,0.14,0.081
-0.024,0.157,-9.857,-0.601,0.557,-0.21
-0.179,0.203,-10.036,-0.686,-0.074,-0.48
-0.076,0.241,-9.571,0.676,0.277,-0.419
0.039,-0.035,-9.877,1.381,0.144,-0.197
-0.072,-0.461,-9.675,2.243,-0.349,-0.159
-0.153,0.173,-9.451,-1.916,-0.287,-0.485
0.009,0.493,-9.858,-3.419,-0.166,-0.334
-0.106,-0.379,-9.764,2.471,-0.708,-0.219
-0.176,-0.61,-9.161,2.679,-0.637,-0.302
-0.028,0.269,-9.66,-3.396,0.058,-0.049
-0.088,0.131,-10.278,-1.512,-0.492,0.004
-0.172,-0.568,-9.689,2.981,-0.496,-0.028
0.032,-0.116,-9.496,-0.306,0.212,-0.097
-0.02,0.142,-9.958,-1.716,-0.442,-0.276
-0.178,-0.343,-9.765,1.399,-0.819,-0.174
-0.155,-0.088,-9.54,-0.407,-0.072,-0.258
-0.108,0.298,-9.715,-2.521,0.027,-0.179
-0.097,-0.154,-9.849,0.757,-0.467,0.117
-0.196,-0.434,-9.83,1.084,-0.565,0.162
-0.249,0.018,-9.972,-1.953,-0.055,0.047
-0.092,0.09,-10.015,-0.871,0.486,-0.113
0.077,-0.135,-9.759,0.67,0.406,0.013
-0.05,0.061,-9.676,-1.372,0.263,-0.086
-0.167,0.066,-10.064,-1.083,0.423,-0.228
-0.134,-0.235,-10.344,0.915,0.164,-0.299
-0.092,-0.169,-9.937,0.082,0.085,-0.163
-0.002,0.149,-9.608,-1.176,0.464,-0.023
-0.096,0.008,-10.112,-0.16,0.245,-0.064
-0.303,0.018,-10.077,-0.238,0.092,-0.188
-0.171,0.139,-9.564,-0.944,0.519,-0.139
-0.197,-0.057,-10.031,0.742,0.067,0.026
-0.167,-0.098,-9.973,0.947,-0.165,-0.221
0.012,0.179,-9.918,-0.788,0.351,0.07
-0.119,0.192,-10.087,-0.446,0.206,-0.013
-0.075,0.137,-9.704,-0.427,-0.008,-0.241
-0.053,0.116,-9.731,0.547,0.087,-0.049
-0.068,-0.2,-9.717,1.91,0.073,-0.302
-0.105,0.155,-9.675,-1.675,0.213,-0.379
-0.139,0.363,-9.758,-1.473,0.321,-0.575
-0.016,-0.288,-9.468,2.982,0.008,-0.294
-0.104,-0.14,-9.408,0.091,0.047,-0.044
-0.205,0.19,-9.815,-2.098,0.034,-0.278
-0.123,-0.21,-9.518,1.29,-0.312,-0.346
0.046,-0.073,-9.361,-0.617,-0.089,-0.353
-0.106,0.099,-9.914,-1.774,-0.198,-0.277
-0.24,-0.261,-9.8,1.403,-0.362,-0.304
-0.044,-0.193,-9.813,-0.13,0.084,-0.083
-0.236,0.054,-9.778,-1.289,-0.093,0.264
-0.192,-0.035,-9.528,0.676,-0.482,0.086
0.045,-0.024,-10.27,0.28,-0.389,-0.289
-0.196,-0.024,-9.86,0.244,0.062,-0.238
-0.177,0.03,-9.442,-0.125,0.045,0.088
-0.122,0.077,-10.184,-0.352,-0.217,0.281
-0.013,0,-9.574,0.384,0.244,-0.086
-0.053,0.052,-9.567,-0.37,0.127,-0.114
-0.281,-0.116,-10.023,0.738,-0.076,0.187
-0.176,0.01,-10.196,-0.758,0.075,-0.2
-0.098,0.224,-10.235,-2.178,0.274,-0.297
-0.107,-0.099,-9.875,1.79,0.32,-0.004
-0.104,-0.146,-9.781,1.111,0.42,-0.024
-0.141,0.156,-9.827,-1.681,0.683,-0.192
-0.229,0.007,-9.9,1.049,0.173,-0.129
-0.101,-0.136,-9.62,1.962,0.092,0.198
0.012,0.124,-9.808,-0.668,0.39,0.005
-0.1,-0.114,-9.795,0.446,0.07,-0.385
-0.108,-0.174,-9.823,0.643,0.032,-0.197
-0.126,0.281,-10.046,-2.165,0.42,-0.051
-0.067,-0.007,-9.909,0.252,-0.044,0.016
-0.13,-0.492,-9.941,2.812,-0.724,-0.098
-0.08,0.122,-9.882,-1.994,-0.399,-0.119
-0.033,0.543,-10.048,-3.419,-0.305,-0.114
-0.255,-0.294,-9.982,2.664,-0.779,-0.148
-0.042,-0.455,-9.525,2.23,-0.484,-0.1
-0.06,0.08,-9.637,-1.85,-0.564,0.115
-0.278,-0.096,-9.728,-0.269,-0.966,0.077
-0.146,-0.079,-9.825,-0.37,-0.608,0.106
-0.057,0.126,-9.621,-1.502,-0.289,0.069
0.02,-0.191,-9.489,0.88,-0.621,-0.253
-0.205,-0.381,-9.89,0.931,-1.225,-0.122
-0.288,0.148,-9.574,-3.628,-0.127,-0.122
-0.076,0.364,-9.64,-2.52,0.53,0.358
-0.13,-0.388,-9.754,2.715,-0.282,0.534
-0.211,-0.342,-9.662,-0.211,-0.22,0.063
-0.208,0.152,-9.866,-2.408,0.11,-0.074
-0.206,0.121,-10.039,-0.075,0.157,-0.233
-0.187,0.237,-10.012,-0.812,0.486,-0.28
-0.091,0.029,-9.927,0.309,0.561,0.15
-0.075,-0.226,-9.881,1.128,0.465,0.041
-0.148,0.086,-10.148,-1.713,0.549,0.023
-0.172,0.293,-10.196,-1.555,0.767,-0.051
-0.148,0.148,-9.591,0.791,0.786,-0.107
0.017,0.045,-9.543,0.762,0.504,0.154
-0.086,0.235,-9.742,-1.187,0.433,-0.126
-0.357,0.267,-9.905,-0.024,0.31,-0.158
-0.126,-0.064,-9.977,2.433,0.606,0.008
-0.065,0.006,-9.649,0.492,0.789,-0.131
-0.165,0.242,-9.736,-0.519,0.377,-0.339
0.015,0.112,-9.757,0.972,0.195,-0.149
-0.2,0.082,-10.004,0.129,0.041,0.014
-0.25,-0.095,-9.865,0.481,0.087,0.092
-0.008,-0.223,-9.284,1.274,0.076,-0.265
-0.129,0.162,-9.859,-1.736,-0.084,-0.295
-0.089,0.047,-9.622,-1.112,0.045,0.167
-0.142,-0.284,-9.572,0.871,-0.047,0.066
-0.237,-0.14,-9.775,-0.18,0.005,-0.051
-0.027,0.034,-9.464,-0.4,0.328,0.01
-0.076,-0.217,-9.783,0.78,-0.132,-0.002
-0.218,-0.359,-9.859,0.787,-0.594,0.213
-0.135,0.093,-9.745,-1.434,0.157,0.218
-0.108,0.201,-9.876,-0.586,0.318,-0.081
-0.142,-0.095,-9.733,1.168,0.164,-0.1
-0.055,0.009,-9.651,-0.294,0.399,0.006
-0.218,-0.105,-10.166,0.184,0.134,0.103
-0.182,-0.184,-9.711,0.343,0.085,0.055
0.079,0.375,-9.643,-2.083,0.282,-0.041
-0.127,0.005,-10.104,0.428,-0.263,-0.062
-0.256,-0.215,-9.846,1.098,-0.268,0.004
-0.082,0.185,-10.095,-1.523,0.447,0.058
-0.046,0.003,-9.992,-0.265,0.444,0.368
-0.172,-0.039,-9.789,-0.146,0.417,0.285
-0.124,-0.088,-10.122,-0.3,0.056,-0.149
-0.233,-0.218,-10.397,0.187,-0.2,-0.09
-0.153,0.09,-9.99,-2.067,0.265,0.191
-0.019,0.258,-9.878,-1.033,0.457,-0.088
-0.205,-0.063,-9.998,1.381,0.141,-0.172
-0.239,0.008,-9.931,-0.323,-0.051,0.053
-0.124,0.148,-9.918,-0.797,0.502,0.067
-0.163,-0.162,-9.741,1.937,0.24,0.116
-0.109,-0.121,-9.646,0.995,-0.145,0.052
0.044,0.289,-9.682,-1.837,0.225,0.084
-0.158,0.108,-9.793,0.88,0.036,-0.025
-0.219,-0.087,-9.518,1.683,0.095,-0.172
-0.128,0.234,-9.89,-0.543,0.221,-0.288
-0.092,0.092,-9.803,0.467,0.228,-0.045
-0.084,0.03,-9.441,0.081,0.339,0.145
-0.051,0.048,-9.699,-0.184,0.101,-0.046
-0.17,-0.113,-9.63,0.535,-0.037,-0.024
-0.232,0.074,-9.625,-0.816,-0.207,0.04
-0.135,0.068,-9.675,-0.525,-0.087,0.002
-0.241,-0.043,-10.037,-0.843,-0.216,-0.04
-0.026,-0.16,-10.027,-0.712,-0.03,-0.102
-0.028,-0.358,-9.529,1.505,0.23,-0.198
-0.234,-0.047,-9.845,-1.613,-0.058,0.161
-0.092,0.086,-10.363,-3.139,-0.147,0.308
-0.164,-0.186,-9.715,0.739,-0.199,0.016
0.004,-0.019,-9.455,-0.49,0.301,-0.266
-0.024,-0.089,-9.844,-0.861,0.117,-0.113
-0.385,-0.087,-9.682,0.069,-0.371,-0.027
-0.099,0.312,-9.932,-1.605,0.12,-0.113
0.057,-0.076,-9.911,1.505,0.188,0.08
-0.241,-0.298,-9.408,2.302,-0.413,0.159
-0.024,0.423,-9.592,-1.841,0.197,0.016
0.015,0.436,-9.736,-0.387,0.483,-0.155
-0.265,-0.202,-9.945,2.912,-0.262,-0.148
-0.008,-0.063,-9.944,0.687,-0.184,-0.242
0.142,0.388,-9.864,-1.824,0.314,-0.153
0.158,0.164,-10.099,0.691,0.246,-0.174
0.459,-0.189,-9.468,2.403,0.429,-0.01
0.214,-0.01,-9.566,-0.425,0.201,0.146
-0.154,0.105,-10.401,-1.166,-0.497,-0.183
-0.044,-0.164,-9.99,1.294,0.188,-0.293
-0.051,-0.015,-9.603,0.239,0.672,0.126
0.009,0.133,-9.781,-0.835,0.253,0.107
