AccelForward (m/s²),AccelLateral (m/s²),AccelDown (m/s²),AngleRateForward (deg/s),AngleRateLateral (deg/s),AngleRateDown (deg/s)
1.66,0.154,-9.918,-0.952,0.198,0.088
1.625,-0.029,-9.792,-0.042,-0.066,0.387
1.623,0.01,-9.865,-0.098,-0.11,0.158
1.694,0.04,-9.765,-0.234,0.336,0.281
1.702,0.149,-9.702,-0.571,0.388,0.354
1.639,0.003,-9.823,0.252,-0.133,0.177
1.675,-0.03,-9.799,-0.235,-0.126,0.068
1.761,0.233,-9.812,-1.36,0.076,0.177
1.746,0.065,-9.746,0.027,-0.024,0.284
1.77,-0.118,-9.707,0.521,0.121,-0.003
1.779,0.086,-9.704,-0.546,-0.003,-0.119
1.789,0.165,-9.651,-0.435,-0.066,0.157
1.841,0.09,-9.631,-0.015,0.262,0.108
1.855,-0.134,-9.681,0.823,0.107,-0.134
1.815,-0.205,-9.607,0.65,0.049,-0.012
1.882,0.246,-9.746,-1.84,0.232,0.082
2.014,0.196,-9.738,-0.523,0.233,0.217
2.016,-0.21,-9.545,1.761,0.057,0.075
1.912,-0.091,-9.818,0.063,0.125,0.162
2.041,0.132,-9.761,-1.36,0.422,0.241
2.124,0.191,-9.641,-0.747,0.819,0.01
2.034,-0.133,-9.788,1.147,0.62,-0.217
2.099,-0.212,-9.753,0.637,0.391,0.08
2.192,0.222,-9.699,-1.597,0.985,0.583
2.219,0.075,-9.914,-0.173,0.697,0.408
2.279,-0.245,-9.735,1.472,0.446,0.321
2.279,0.048,-9.54,-0.942,1.087,0.239
2.275,0.124,-9.974,-1.335,1.118,0.234
2.349,-0.145,-9.803,0.61,1.174,0.485
2.309,-0.058,-9.618,-0.175,1.021,0.431
2.37,0.079,-9.913,-1.123,0.914,0.064
2.497,0.033,-9.818,-0.533,1.411,0.115
2.39,-0.057,-9.666,0.217,1.138,0.461
2.448,-0.042,-9.773,-0.1,1.16,0.462
2.548,0.146,-9.878,-1.235,1.5,0.488
2.442,0.062,-9.79,-0.315,1.306,0.346
2.438,-0.007,-9.845,0.388,1.254,0.244
2.528,0.122,-9.932,-0.425,1.404,0.224
